treatment,nursery,line,species,depth,coral.id,colony,harvest.year,year,survival,colony.group,colony.depth,colony.year
CastawayYear 3,Castaway,21,APAL,9,254,475,2,Year 3,1,Rocky,Rocky9,RockyYear 3
CastawayYear 1,Castaway,22,ACER,9,11,266,2,Year 1,1,ACER1,ACER19,ACER1Year 1
CastawayYear 2,Castaway,22,ACER,9,11,266,2,Year 2,1,ACER1,ACER19,ACER1Year 2
CastawayYear 3,Castaway,22,ACER,9,11,266,2,Year 3,1,ACER1,ACER19,ACER1Year 3
CastawayYear 1,Castaway,22,ACER,9,16,266,2,Year 1,1,ACER1,ACER19,ACER1Year 1
CastawayYear 2,Castaway,22,ACER,9,16,266,2,Year 2,1,ACER1,ACER19,ACER1Year 2
CastawayYear 3,Castaway,22,ACER,9,16,266,2,Year 3,1,ACER1,ACER19,ACER1Year 3
CastawayYear 1,Castaway,22,APAL,9,53,251,2,Year 1,1,Midway,Midway9,MidwayYear 1
CastawayYear 2,Castaway,22,APAL,9,53,251,2,Year 2,1,Midway,Midway9,MidwayYear 2
CastawayYear 3,Castaway,22,APAL,9,53,251,2,Year 3,1,Midway,Midway9,MidwayYear 3
CastawayYear 1,Castaway,22,APAL,9,59,251,2,Year 1,1,Midway,Midway9,MidwayYear 1
CastawayYear 2,Castaway,22,APAL,9,59,251,2,Year 2,1,Midway,Midway9,MidwayYear 2
CastawayYear 3,Castaway,22,APAL,9,59,251,2,Year 3,1,Midway,Midway9,MidwayYear 3
CastawayYear 1,Castaway,22,ACER,9,101,548,No Data,Year 1,1,ACER1,ACER19,ACER1Year 1
CastawayYear 2,Castaway,22,ACER,9,101,548,No Data,Year 2,0,ACER1,ACER19,ACER1Year 2
CastawayYear 3,Castaway,22,ACER,9,101,548,No Data,Year 3,0,ACER1,ACER19,ACER1Year 3
CastawayYear 1,Castaway,22,ACER,9,104,548,,Year 1,0,ACER1,ACER19,ACER1Year 1
CastawayYear 2,Castaway,22,ACER,9,104,548,,Year 2,0,ACER1,ACER19,ACER1Year 2
CastawayYear 3,Castaway,22,ACER,9,104,548,,Year 3,0,ACER1,ACER19,ACER1Year 3
CastawayYear 1,Castaway,22,APAL,9,131,372,No Data,Year 1,1,Rocky2,Rocky29,Rocky2Year 1
CastawayYear 2,Castaway,22,APAL,9,131,372,No Data,Year 2,0,Rocky2,Rocky29,Rocky2Year 2
CastawayYear 3,Castaway,22,APAL,9,131,372,No Data,Year 3,0,Rocky2,Rocky29,Rocky2Year 3
CastawayYear 1,Castaway,22,APAL,9,132,372,No Data,Year 1,1,Rocky2,Rocky29,Rocky2Year 1
CastawayYear 2,Castaway,22,APAL,9,132,372,No Data,Year 2,0,Rocky2,Rocky29,Rocky2Year 2
CastawayYear 3,Castaway,22,APAL,9,132,372,No Data,Year 3,0,Rocky2,Rocky29,Rocky2Year 3
CastawayYear 1,Castaway,22,APAL,9,167,260,No Data,Year 1,1,Midway,Midway9,MidwayYear 1
CastawayYear 2,Castaway,22,APAL,9,167,260,No Data,Year 2,0,Midway,Midway9,MidwayYear 2
CastawayYear 3,Castaway,22,APAL,9,167,260,No Data,Year 3,0,Midway,Midway9,MidwayYear 3
CastawayYear 1,Castaway,22,APAL,9,171,260,2,Year 1,1,Midway,Midway9,MidwayYear 1
CastawayYear 2,Castaway,22,APAL,9,171,260,2,Year 2,1,Midway,Midway9,MidwayYear 2
CastawayYear 3,Castaway,22,APAL,9,171,260,2,Year 3,1,Midway,Midway9,MidwayYear 3
CastawayYear 1,Castaway,22,APAL,9,186,363,No Data,Year 1,1,Rocky,Rocky9,RockyYear 1
CastawayYear 2,Castaway,22,APAL,9,186,363,No Data,Year 2,0,Rocky,Rocky9,RockyYear 2
CastawayYear 3,Castaway,22,APAL,9,186,363,No Data,Year 3,0,Rocky,Rocky9,RockyYear 3
CastawayYear 1,Castaway,22,APAL,9,189,363,,Year 1,0,Rocky,Rocky9,RockyYear 1
CastawayYear 2,Castaway,22,APAL,9,189,363,,Year 2,0,Rocky,Rocky9,RockyYear 2
CastawayYear 3,Castaway,22,APAL,9,189,363,,Year 3,0,Rocky,Rocky9,RockyYear 3
CastawayYear 1,Castaway,22,APAL,9,200,253,Not Harvested,Year 1,1,Gorda,Gorda9,GordaYear 1
CastawayYear 2,Castaway,22,APAL,9,200,253,Not Harvested,Year 2,1,Gorda,Gorda9,GordaYear 2
CastawayYear 3,Castaway,22,APAL,9,200,253,Not Harvested,Year 3,1,Gorda,Gorda9,GordaYear 3
CastawayYear 1,Castaway,22,APAL,9,253,475,No Data,Year 1,1,Rocky,Rocky9,RockyYear 1
CastawayYear 2,Castaway,22,APAL,9,253,475,No Data,Year 2,0,Rocky,Rocky9,RockyYear 2
CastawayYear 3,Castaway,22,APAL,9,253,475,No Data,Year 3,0,Rocky,Rocky9,RockyYear 3
CastawayYear 1,Castaway,22,APAL,9,256,475,No Data,Year 1,1,Rocky,Rocky9,RockyYear 1
CastawayYear 2,Castaway,22,APAL,9,256,475,No Data,Year 2,0,Rocky,Rocky9,RockyYear 2
CastawayYear 3,Castaway,22,APAL,9,256,475,No Data,Year 3,0,Rocky,Rocky9,RockyYear 3
GlassbottomYear 1,Glassbottom,23,APAL,9,17,258,1,Year 1,1,Midway,Midway9,MidwayYear 1
GlassbottomYear 2,Glassbottom,23,APAL,9,17,258,1,Year 2,1,Midway,Midway9,MidwayYear 2
GlassbottomYear 3,Glassbottom,23,APAL,9,17,258,1,Year 3,1,Midway,Midway9,MidwayYear 3
GlassbottomYear 1,Glassbottom,23,APAL,9,23,258,1,Year 1,1,Midway,Midway9,MidwayYear 1
GlassbottomYear 2,Glassbottom,23,APAL,9,23,258,1,Year 2,1,Midway,Midway9,MidwayYear 2
GlassbottomYear 3,Glassbottom,23,APAL,9,23,258,1,Year 3,1,Midway,Midway9,MidwayYear 3
GlassbottomYear 1,Glassbottom,23,ACER,9,41,268,"1,2",Year 1,1,ACER1,ACER19,ACER1Year 1
GlassbottomYear 2,Glassbottom,23,ACER,9,41,268,"1,2",Year 2,1,ACER1,ACER19,ACER1Year 2
GlassbottomYear 3,Glassbottom,23,ACER,9,41,268,"1,2",Year 3,1,ACER1,ACER19,ACER1Year 3
GlassbottomYear 1,Glassbottom,23,ACER,9,42,268,1,Year 1,1,ACER1,ACER19,ACER1Year 1
GlassbottomYear 2,Glassbottom,23,ACER,9,42,268,1,Year 2,1,ACER1,ACER19,ACER1Year 2
GlassbottomYear 3,Glassbottom,23,ACER,9,42,268,1,Year 3,1,ACER1,ACER19,ACER1Year 3
GlassbottomYear 1,Glassbottom,23,ACER,9,69,530,1,Year 1,1,530,5309,530Year 1
GlassbottomYear 2,Glassbottom,23,ACER,9,69,530,1,Year 2,1,530,5309,530Year 2
GlassbottomYear 3,Glassbottom,23,ACER,9,69,530,1,Year 3,1,530,5309,530Year 3
GlassbottomYear 1,Glassbottom,23,ACER,9,70,530,1,Year 1,1,530,5309,530Year 1
GlassbottomYear 2,Glassbottom,23,ACER,9,70,530,1,Year 2,1,530,5309,530Year 2
GlassbottomYear 3,Glassbottom,23,ACER,9,70,530,1,Year 3,1,530,5309,530Year 3
GlassbottomYear 1,Glassbottom,23,ACER,9,87,272,"1,2",Year 1,1,ACER1,ACER19,ACER1Year 1
GlassbottomYear 2,Glassbottom,23,ACER,9,87,272,"1,2",Year 2,1,ACER1,ACER19,ACER1Year 2
GlassbottomYear 3,Glassbottom,23,ACER,9,87,272,"1,2",Year 3,1,ACER1,ACER19,ACER1Year 3
GlassbottomYear 1,Glassbottom,23,ACER,9,88,272,"1,2",Year 1,1,ACER1,ACER19,ACER1Year 1
GlassbottomYear 2,Glassbottom,23,ACER,9,88,272,"1,2",Year 2,1,ACER1,ACER19,ACER1Year 2
GlassbottomYear 3,Glassbottom,23,ACER,9,88,272,"1,2",Year 3,1,ACER1,ACER19,ACER1Year 3
GlassbottomYear 1,Glassbottom,23,APAL,9,116,256,1,Year 1,1,Rocky,Rocky9,RockyYear 1
GlassbottomYear 2,Glassbottom,23,APAL,9,116,256,1,Year 2,1,Rocky,Rocky9,RockyYear 2
GlassbottomYear 3,Glassbottom,23,APAL,9,116,256,1,Year 3,1,Rocky,Rocky9,RockyYear 3
GlassbottomYear 1,Glassbottom,23,APAL,9,125,256,1,Year 1,1,Rocky,Rocky9,RockyYear 1
GlassbottomYear 2,Glassbottom,23,APAL,9,125,256,1,Year 2,1,Rocky,Rocky9,RockyYear 2
GlassbottomYear 3,Glassbottom,23,APAL,9,125,256,1,Year 3,1,Rocky,Rocky9,RockyYear 3
GlassbottomYear 1,Glassbottom,23,APAL,9,149,260,1,Year 1,1,Midway,Midway9,MidwayYear 1
GlassbottomYear 2,Glassbottom,23,APAL,9,149,260,1,Year 2,1,Midway,Midway9,MidwayYear 2
GlassbottomYear 3,Glassbottom,23,APAL,9,149,260,1,Year 3,1,Midway,Midway9,MidwayYear 3
GlassbottomYear 1,Glassbottom,23,APAL,9,150,260,1,Year 1,1,Midway,Midway9,MidwayYear 1
GlassbottomYear 2,Glassbottom,23,APAL,9,150,260,1,Year 2,1,Midway,Midway9,MidwayYear 2
GlassbottomYear 3,Glassbottom,23,APAL,9,150,260,1,Year 3,1,Midway,Midway9,MidwayYear 3
GlassbottomYear 1,Glassbottom,23,APAL,9,218,401,1,Year 1,1,unknown,unknown9,unknownYear 1
GlassbottomYear 2,Glassbottom,23,APAL,9,218,401,1,Year 2,1,unknown,unknown9,unknownYear 2
GlassbottomYear 3,Glassbottom,23,APAL,9,218,401,1,Year 3,1,unknown,unknown9,unknownYear 3
GlassbottomYear 1,Glassbottom,23,APAL,9,219,401,1,Year 1,1,unknown,unknown9,unknownYear 1
GlassbottomYear 2,Glassbottom,23,APAL,9,219,401,1,Year 2,1,unknown,unknown9,unknownYear 2
GlassbottomYear 3,Glassbottom,23,APAL,9,219,401,1,Year 3,1,unknown,unknown9,unknownYear 3
GlassbottomYear 1,Glassbottom,23,APAL,9,230,369,1,Year 1,1,unknown,unknown9,unknownYear 1
GlassbottomYear 2,Glassbottom,23,APAL,9,230,369,1,Year 2,1,unknown,unknown9,unknownYear 2
GlassbottomYear 3,Glassbottom,23,APAL,9,230,369,1,Year 3,1,unknown,unknown9,unknownYear 3
GlassbottomYear 1,Glassbottom,23,APAL,9,239,369,1,Year 1,1,unknown,unknown9,unknownYear 1
GlassbottomYear 2,Glassbottom,23,APAL,9,239,369,1,Year 2,1,unknown,unknown9,unknownYear 2
GlassbottomYear 3,Glassbottom,23,APAL,9,239,369,1,Year 3,1,unknown,unknown9,unknownYear 3
GlassbottomYear 1,Glassbottom,24,APAL,9,18,258,2,Year 1,1,Midway,Midway9,MidwayYear 1
GlassbottomYear 2,Glassbottom,24,APAL,9,18,258,2,Year 2,1,Midway,Midway9,MidwayYear 2
GlassbottomYear 3,Glassbottom,24,APAL,9,18,258,2,Year 3,1,Midway,Midway9,MidwayYear 3
GlassbottomYear 1,Glassbottom,24,APAL,9,22,258,Not Harvested,Year 1,1,Midway,Midway9,MidwayYear 1
GlassbottomYear 2,Glassbottom,24,APAL,9,22,258,Not Harvested,Year 2,1,Midway,Midway9,MidwayYear 2
GlassbottomYear 3,Glassbottom,24,APAL,9,22,258,Not Harvested,Year 3,1,Midway,Midway9,MidwayYear 3
GlassbottomYear 1,Glassbottom,24,ACER,9,39,268,2,Year 1,1,ACER1,ACER19,ACER1Year 1
GlassbottomYear 2,Glassbottom,24,ACER,9,39,268,2,Year 2,1,ACER1,ACER19,ACER1Year 2
GlassbottomYear 3,Glassbottom,24,ACER,9,39,268,2,Year 3,1,ACER1,ACER19,ACER1Year 3
GlassbottomYear 1,Glassbottom,24,ACER,9,40,268,2,Year 1,1,ACER1,ACER19,ACER1Year 1
GlassbottomYear 2,Glassbottom,24,ACER,9,40,268,2,Year 2,1,ACER1,ACER19,ACER1Year 2
GlassbottomYear 3,Glassbottom,24,ACER,9,40,268,2,Year 3,1,ACER1,ACER19,ACER1Year 3
GlassbottomYear 1,Glassbottom,24,ACER,9,71,530,2,Year 1,1,530,5309,530Year 1
GlassbottomYear 2,Glassbottom,24,ACER,9,71,530,2,Year 2,1,530,5309,530Year 2
GlassbottomYear 3,Glassbottom,24,ACER,9,71,530,2,Year 3,1,530,5309,530Year 3
GlassbottomYear 1,Glassbottom,24,ACER,9,80,530,2,Year 1,1,530,5309,530Year 1
GlassbottomYear 2,Glassbottom,24,ACER,9,80,530,2,Year 2,1,530,5309,530Year 2
GlassbottomYear 3,Glassbottom,24,ACER,9,80,530,2,Year 3,1,530,5309,530Year 3
GlassbottomYear 1,Glassbottom,24,ACER,9,89,272,2,Year 1,1,ACER1,ACER19,ACER1Year 1
GlassbottomYear 2,Glassbottom,24,ACER,9,89,272,2,Year 2,1,ACER1,ACER19,ACER1Year 2
GlassbottomYear 3,Glassbottom,24,ACER,9,89,272,2,Year 3,1,ACER1,ACER19,ACER1Year 3
GlassbottomYear 1,Glassbottom,24,ACER,9,90,272,2,Year 1,1,ACER1,ACER19,ACER1Year 1
GlassbottomYear 2,Glassbottom,24,ACER,9,90,272,2,Year 2,1,ACER1,ACER19,ACER1Year 2
GlassbottomYear 3,Glassbottom,24,ACER,9,90,272,2,Year 3,1,ACER1,ACER19,ACER1Year 3
GlassbottomYear 1,Glassbottom,24,APAL,9,117,256,2,Year 1,1,Rocky,Rocky9,RockyYear 1
GlassbottomYear 2,Glassbottom,24,APAL,9,117,256,2,Year 2,1,Rocky,Rocky9,RockyYear 2
GlassbottomYear 3,Glassbottom,24,APAL,9,117,256,2,Year 3,1,Rocky,Rocky9,RockyYear 3
GlassbottomYear 1,Glassbottom,24,APAL,9,124,256,2,Year 1,1,Rocky,Rocky9,RockyYear 1
GlassbottomYear 2,Glassbottom,24,APAL,9,124,256,2,Year 2,1,Rocky,Rocky9,RockyYear 2
GlassbottomYear 3,Glassbottom,24,APAL,9,124,256,2,Year 3,1,Rocky,Rocky9,RockyYear 3
GlassbottomYear 1,Glassbottom,24,APAL,9,153,260,2,Year 1,1,Midway,Midway9,MidwayYear 1
GlassbottomYear 2,Glassbottom,24,APAL,9,153,260,2,Year 2,1,Midway,Midway9,MidwayYear 2
GlassbottomYear 3,Glassbottom,24,APAL,9,153,260,2,Year 3,1,Midway,Midway9,MidwayYear 3
GlassbottomYear 1,Glassbottom,24,APAL,9,154,260,2,Year 1,1,Midway,Midway9,MidwayYear 1
GlassbottomYear 2,Glassbottom,24,APAL,9,154,260,2,Year 2,1,Midway,Midway9,MidwayYear 2
GlassbottomYear 3,Glassbottom,24,APAL,9,154,260,2,Year 3,1,Midway,Midway9,MidwayYear 3
GlassbottomYear 1,Glassbottom,24,APAL,9,213,401,2,Year 1,1,unknown,unknown9,unknownYear 1
GlassbottomYear 2,Glassbottom,24,APAL,9,213,401,2,Year 2,1,unknown,unknown9,unknownYear 2
GlassbottomYear 3,Glassbottom,24,APAL,9,213,401,2,Year 3,1,unknown,unknown9,unknownYear 3
GlassbottomYear 1,Glassbottom,24,APAL,9,217,401,2,Year 1,1,unknown,unknown9,unknownYear 1
GlassbottomYear 2,Glassbottom,24,APAL,9,217,401,2,Year 2,1,unknown,unknown9,unknownYear 2
GlassbottomYear 3,Glassbottom,24,APAL,9,217,401,2,Year 3,1,unknown,unknown9,unknownYear 3
GlassbottomYear 1,Glassbottom,24,APAL,9,225,369,2,Year 1,1,unknown,unknown9,unknownYear 1
GlassbottomYear 2,Glassbottom,24,APAL,9,225,369,2,Year 2,1,unknown,unknown9,unknownYear 2
GlassbottomYear 3,Glassbottom,24,APAL,9,225,369,2,Year 3,1,unknown,unknown9,unknownYear 3
GlassbottomYear 1,Glassbottom,24,APAL,9,240,369,2,Year 1,1,unknown,unknown9,unknownYear 1
GlassbottomYear 2,Glassbottom,24,APAL,9,240,369,2,Year 2,1,unknown,unknown9,unknownYear 2
GlassbottomYear 3,Glassbottom,24,APAL,9,240,369,2,Year 3,1,unknown,unknown9,unknownYear 3
CastawayYear 1,Castaway,31,ACER,7.5,12,266,2,Year 1,1,ACER1,ACER17.5,ACER1Year 1
CastawayYear 2,Castaway,31,ACER,7.5,12,266,2,Year 2,1,ACER1,ACER17.5,ACER1Year 2
CastawayYear 3,Castaway,31,ACER,7.5,12,266,2,Year 3,1,ACER1,ACER17.5,ACER1Year 3
CastawayYear 1,Castaway,31,ACER,7.5,14,266,2,Year 1,1,ACER1,ACER17.5,ACER1Year 1
CastawayYear 2,Castaway,31,ACER,7.5,14,266,2,Year 2,1,ACER1,ACER17.5,ACER1Year 2
CastawayYear 3,Castaway,31,ACER,7.5,14,266,2,Year 3,1,ACER1,ACER17.5,ACER1Year 3
CastawayYear 1,Castaway,31,APAL,7.5,57,251,Not Harvested,Year 1,1,Midway,Midway7.5,MidwayYear 1
CastawayYear 2,Castaway,31,APAL,7.5,57,251,Not Harvested,Year 2,1,Midway,Midway7.5,MidwayYear 2
CastawayYear 3,Castaway,31,APAL,7.5,57,251,Not Harvested,Year 3,1,Midway,Midway7.5,MidwayYear 3
CastawayYear 1,Castaway,31,APAL,7.5,64,251,2,Year 1,1,Midway,Midway7.5,MidwayYear 1
CastawayYear 2,Castaway,31,APAL,7.5,64,251,2,Year 2,1,Midway,Midway7.5,MidwayYear 2
CastawayYear 3,Castaway,31,APAL,7.5,64,251,2,Year 3,1,Midway,Midway7.5,MidwayYear 3
CastawayYear 1,Castaway,31,ACER,7.5,107,548,2,Year 1,1,ACER1,ACER17.5,ACER1Year 1
CastawayYear 2,Castaway,31,ACER,7.5,107,548,2,Year 2,1,ACER1,ACER17.5,ACER1Year 2
CastawayYear 3,Castaway,31,ACER,7.5,107,548,2,Year 3,1,ACER1,ACER17.5,ACER1Year 3
CastawayYear 1,Castaway,31,APAL,7.5,135,372,2,Year 1,1,Rocky2,Rocky27.5,Rocky2Year 1
CastawayYear 2,Castaway,31,APAL,7.5,135,372,2,Year 2,1,Rocky2,Rocky27.5,Rocky2Year 2
CastawayYear 3,Castaway,31,APAL,7.5,135,372,2,Year 3,1,Rocky2,Rocky27.5,Rocky2Year 3
CastawayYear 1,Castaway,31,APAL,7.5,136,372,,Year 1,0,Rocky2,Rocky27.5,Rocky2Year 1
CastawayYear 2,Castaway,31,APAL,7.5,136,372,,Year 2,0,Rocky2,Rocky27.5,Rocky2Year 2
CastawayYear 3,Castaway,31,APAL,7.5,136,372,,Year 3,0,Rocky2,Rocky27.5,Rocky2Year 3
CastawayYear 1,Castaway,31,APAL,7.5,162,260,2,Year 1,1,Midway,Midway7.5,MidwayYear 1
CastawayYear 2,Castaway,31,APAL,7.5,162,260,2,Year 2,1,Midway,Midway7.5,MidwayYear 2
CastawayYear 3,Castaway,31,APAL,7.5,162,260,2,Year 3,1,Midway,Midway7.5,MidwayYear 3
CastawayYear 1,Castaway,31,APAL,7.5,165,260,2,Year 1,1,Midway,Midway7.5,MidwayYear 1
CastawayYear 2,Castaway,31,APAL,7.5,165,260,2,Year 2,1,Midway,Midway7.5,MidwayYear 2
CastawayYear 3,Castaway,31,APAL,7.5,165,260,2,Year 3,1,Midway,Midway7.5,MidwayYear 3
CastawayYear 1,Castaway,31,APAL,7.5,179,363,2,Year 1,1,Rocky,Rocky7.5,RockyYear 1
CastawayYear 2,Castaway,31,APAL,7.5,179,363,2,Year 2,1,Rocky,Rocky7.5,RockyYear 2
CastawayYear 3,Castaway,31,APAL,7.5,179,363,2,Year 3,1,Rocky,Rocky7.5,RockyYear 3
CastawayYear 1,Castaway,31,APAL,7.5,190,363,2,Year 1,1,Rocky,Rocky7.5,RockyYear 1
CastawayYear 2,Castaway,31,APAL,7.5,190,363,2,Year 2,1,Rocky,Rocky7.5,RockyYear 2
CastawayYear 3,Castaway,31,APAL,7.5,190,363,2,Year 3,1,Rocky,Rocky7.5,RockyYear 3
CastawayYear 1,Castaway,31,APAL,7.5,195,253,2,Year 1,1,Gorda,Gorda7.5,GordaYear 1
CastawayYear 2,Castaway,31,APAL,7.5,195,253,2,Year 2,1,Gorda,Gorda7.5,GordaYear 2
CastawayYear 3,Castaway,31,APAL,7.5,195,253,2,Year 3,1,Gorda,Gorda7.5,GordaYear 3
CastawayYear 1,Castaway,31,APAL,7.5,196,253,2,Year 1,1,Gorda,Gorda7.5,GordaYear 1
CastawayYear 2,Castaway,31,APAL,7.5,196,253,2,Year 2,1,Gorda,Gorda7.5,GordaYear 2
CastawayYear 3,Castaway,31,APAL,7.5,196,253,2,Year 3,1,Gorda,Gorda7.5,GordaYear 3
CastawayYear 1,Castaway,31,APAL,7.5,249,475,2,Year 1,1,Rocky,Rocky7.5,RockyYear 1
CastawayYear 2,Castaway,31,APAL,7.5,249,475,2,Year 2,1,Rocky,Rocky7.5,RockyYear 2
CastawayYear 3,Castaway,31,APAL,7.5,249,475,2,Year 3,1,Rocky,Rocky7.5,RockyYear 3
CastawayYear 1,Castaway,31,APAL,7.5,255,475,2,Year 1,1,Rocky,Rocky7.5,RockyYear 1
CastawayYear 2,Castaway,31,APAL,7.5,255,475,2,Year 2,1,Rocky,Rocky7.5,RockyYear 2
CastawayYear 3,Castaway,31,APAL,7.5,255,475,2,Year 3,1,Rocky,Rocky7.5,RockyYear 3
CastawayYear 1,Castaway,32,ACER,7.5,2,266,2,Year 1,1,ACER1,ACER17.5,ACER1Year 1
CastawayYear 2,Castaway,32,ACER,7.5,2,266,2,Year 2,1,ACER1,ACER17.5,ACER1Year 2
CastawayYear 3,Castaway,32,ACER,7.5,2,266,2,Year 3,1,ACER1,ACER17.5,ACER1Year 3
CastawayYear 1,Castaway,32,ACER,7.5,7,266,2,Year 1,1,ACER1,ACER17.5,ACER1Year 1
CastawayYear 2,Castaway,32,ACER,7.5,7,266,2,Year 2,1,ACER1,ACER17.5,ACER1Year 2
CastawayYear 3,Castaway,32,ACER,7.5,7,266,2,Year 3,1,ACER1,ACER17.5,ACER1Year 3
CastawayYear 1,Castaway,32,APAL,7.5,49,251,No Data,Year 1,1,Midway,Midway7.5,MidwayYear 1
CastawayYear 2,Castaway,32,APAL,7.5,49,251,No Data,Year 2,0,Midway,Midway7.5,MidwayYear 2
CastawayYear 3,Castaway,32,APAL,7.5,49,251,No Data,Year 3,0,Midway,Midway7.5,MidwayYear 3
CastawayYear 1,Castaway,32,APAL,7.5,50,251,No Data,Year 1,1,Midway,Midway7.5,MidwayYear 1
CastawayYear 2,Castaway,32,APAL,7.5,50,251,No Data,Year 2,0,Midway,Midway7.5,MidwayYear 2
CastawayYear 3,Castaway,32,APAL,7.5,50,251,No Data,Year 3,0,Midway,Midway7.5,MidwayYear 3
CastawayYear 1,Castaway,32,ACER,7.5,99,548,No Data,Year 1,1,ACER1,ACER17.5,ACER1Year 1
CastawayYear 2,Castaway,32,ACER,7.5,99,548,No Data,Year 2,1,ACER1,ACER17.5,ACER1Year 2
CastawayYear 3,Castaway,32,ACER,7.5,99,548,No Data,Year 3,0,ACER1,ACER17.5,ACER1Year 3
CastawayYear 1,Castaway,32,ACER,7.5,106,548,No Data,Year 1,1,ACER1,ACER17.5,ACER1Year 1
CastawayYear 2,Castaway,32,ACER,7.5,106,548,No Data,Year 2,1,ACER1,ACER17.5,ACER1Year 2
CastawayYear 3,Castaway,32,ACER,7.5,106,548,No Data,Year 3,1,ACER1,ACER17.5,ACER1Year 3
CastawayYear 1,Castaway,32,APAL,7.5,140,372,No Data,Year 1,1,Rocky2,Rocky27.5,Rocky2Year 1
CastawayYear 2,Castaway,32,APAL,7.5,140,372,No Data,Year 2,0,Rocky2,Rocky27.5,Rocky2Year 2
CastawayYear 3,Castaway,32,APAL,7.5,140,372,No Data,Year 3,0,Rocky2,Rocky27.5,Rocky2Year 3
CastawayYear 1,Castaway,32,APAL,7.5,141,372,No Data,Year 1,1,Rocky2,Rocky27.5,Rocky2Year 1
CastawayYear 2,Castaway,32,APAL,7.5,141,372,No Data,Year 2,0,Rocky2,Rocky27.5,Rocky2Year 2
CastawayYear 3,Castaway,32,APAL,7.5,141,372,No Data,Year 3,0,Rocky2,Rocky27.5,Rocky2Year 3
CastawayYear 1,Castaway,32,APAL,7.5,166,260,No Data,Year 1,1,Midway,Midway7.5,MidwayYear 1
CastawayYear 2,Castaway,32,APAL,7.5,166,260,No Data,Year 2,0,Midway,Midway7.5,MidwayYear 2
CastawayYear 3,Castaway,32,APAL,7.5,166,260,No Data,Year 3,0,Midway,Midway7.5,MidwayYear 3
CastawayYear 1,Castaway,32,APAL,7.5,173,260,2,Year 1,1,Midway,Midway7.5,MidwayYear 1
CastawayYear 2,Castaway,32,APAL,7.5,173,260,2,Year 2,1,Midway,Midway7.5,MidwayYear 2
CastawayYear 3,Castaway,32,APAL,7.5,173,260,2,Year 3,1,Midway,Midway7.5,MidwayYear 3
CastawayYear 1,Castaway,32,APAL,7.5,183,363,2,Year 1,1,Rocky,Rocky7.5,RockyYear 1
CastawayYear 2,Castaway,32,APAL,7.5,183,363,2,Year 2,1,Rocky,Rocky7.5,RockyYear 2
CastawayYear 3,Castaway,32,APAL,7.5,183,363,2,Year 3,1,Rocky,Rocky7.5,RockyYear 3
CastawayYear 1,Castaway,32,APAL,7.5,191,363,2,Year 1,1,Rocky,Rocky7.5,RockyYear 1
CastawayYear 2,Castaway,32,APAL,7.5,191,363,2,Year 2,1,Rocky,Rocky7.5,RockyYear 2
CastawayYear 3,Castaway,32,APAL,7.5,191,363,2,Year 3,1,Rocky,Rocky7.5,RockyYear 3
CastawayYear 1,Castaway,32,APAL,7.5,203,253,No Data,Year 1,1,Gorda,Gorda7.5,GordaYear 1
CastawayYear 2,Castaway,32,APAL,7.5,203,253,No Data,Year 2,0,Gorda,Gorda7.5,GordaYear 2
CastawayYear 3,Castaway,32,APAL,7.5,203,253,No Data,Year 3,0,Gorda,Gorda7.5,GordaYear 3
CastawayYear 1,Castaway,32,APAL,7.5,204,253,No Data,Year 1,1,Gorda,Gorda7.5,GordaYear 1
CastawayYear 2,Castaway,32,APAL,7.5,204,253,No Data,Year 2,0,Gorda,Gorda7.5,GordaYear 2
CastawayYear 3,Castaway,32,APAL,7.5,204,253,No Data,Year 3,0,Gorda,Gorda7.5,GordaYear 3
CastawayYear 1,Castaway,32,APAL,7.5,243,475,2,Year 1,1,Rocky,Rocky7.5,RockyYear 1
CastawayYear 2,Castaway,32,APAL,7.5,243,475,2,Year 2,1,Rocky,Rocky7.5,RockyYear 2
CastawayYear 3,Castaway,32,APAL,7.5,243,475,2,Year 3,1,Rocky,Rocky7.5,RockyYear 3
CastawayYear 1,Castaway,32,APAL,7.5,244,475,2,Year 1,1,Rocky,Rocky7.5,RockyYear 1
CastawayYear 2,Castaway,32,APAL,7.5,244,475,2,Year 2,1,Rocky,Rocky7.5,RockyYear 2
CastawayYear 3,Castaway,32,APAL,7.5,244,475,2,Year 3,0,Rocky,Rocky7.5,RockyYear 3
GlassbottomYear 1,Glassbottom,33,APAL,7.5,24,258,1,Year 1,1,Midway,Midway7.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,33,APAL,7.5,24,258,1,Year 2,1,Midway,Midway7.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,33,APAL,7.5,24,258,1,Year 3,1,Midway,Midway7.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,33,APAL,7.5,25,258,1,Year 1,1,Midway,Midway7.5,MidwayYear 1
GlassbottomYear 2,Glassbottom,33,APAL,7.5,25,258,1,Year 2,1,Midway,Midway7.5,MidwayYear 2
GlassbottomYear 3,Glassbottom,33,APAL,7.5,25,258,1,Year 3,1,Midway,Midway7.5,MidwayYear 3
GlassbottomYear 1,Glassbottom,33,ACER,7.5,33,268,"1,2",Year 1,1,ACER1,ACER17.5,ACER1Year 1
