pmid,first_author,year,title,journal,doi,source_queries
34367562,Cramer,2021,The transformation of Caribbean coral communities since humans.,Ecology and evolution,10.1002/ece3.7808,Q1_genus_caribbean
34363004,Baker,2021,The coral symbiont Candidatus Aquarickettsia is variably abundant in threatened Caribbean acroporids and transmitted horizontally.,The ISME journal,10.1038/s41396-021-01077-8,Q1_genus_caribbean; Q3_mesh_anthozoa
34312399,Johnson,2021,Rapid ecosystem-scale consequences of acute deoxygenation on a Caribbean coral reef.,Nature communications,10.1038/s41467-021-24777-3,Q3_mesh_anthozoa
34143280,Henry,2021,Intraspecific variation in polar and nonpolar metabolite profiles of a threatened Caribbean coral.,Metabolomics : Official journal of the Metabolomic Society,10.1007/s11306-021-01808-0,Q1_genus_caribbean; Q4_esa_threatened
34045538,Pilnick,2021,A novel system for intensive Diadema antillarum propagation as a step towards population enhancement.,Scientific reports,10.1038/s41598-021-90564-1,Q3_mesh_anthozoa
33953818,Ramírez-Lugo,2021,CREARE: A Course-Based Undergraduate Research Experience To Study the Responses of the Endangered Coral Acropora cervicornis to a Changing Environment.,Journal of microbiology & biology education,10.1128/jmbe.v22i1.2253C,Q1_genus_caribbean; Q4_esa_threatened
33854832,Cortés-Useche,2021,Conservation actions and ecological context: optimizing coral reef local management in the Dominican Republic.,PeerJ,10.7717/peerj.10925,Q1_genus_caribbean
33666231,Dunphy,2021,Host-microbial systems as glass cannons: Explaining microbiome stability in corals exposed to extrinsic perturbations.,The Journal of animal ecology,10.1111/1365-2656.13466,Q1_genus_caribbean
33293020,Mercado-Molina,2020,Population dynamics of diseased corals: Effects of a Shut Down Reaction outbreak in Puerto Rican Acropora cervicornis.,Advances in marine biology,10.1016/bs.amb.2020.08.001,Q1_genus_caribbean
33293016,Precht,2020,The timing and causality of ecological shifts on Caribbean reefs.,Advances in marine biology,10.1016/bs.amb.2020.08.008,Q3_mesh_anthozoa
33001521,Gómez-Corrales,2020,Cryptic lineages respond differently to coral bleaching.,Molecular ecology,10.1111/mec.15631,Q3_mesh_anthozoa
32997690,Greer,2020,"Coral Gardens Reef, Belize: A refugium in the face of Caribbean-wide Acropora spp. coral decline.",PloS one,10.1371/journal.pone.0239267,Q1_genus_caribbean
32913671,Miller,2020,Spatial distribution of microbial communities among colonies and genotypes in nursery-reared Acropora cervicornis.,PeerJ,10.7717/peerj.9635,Q1_genus_caribbean; Q2_abbreviated; Q4_esa_threatened
32719467,Kitchen,2020,STAGdb: a 30K SNP genotyping array and Science Gateway for Acropora corals and their dinoflagellate symbionts.,Scientific reports,10.1038/s41598-020-69101-z,Q1_genus_caribbean
32701064,Dorrestein,2020,Prevalence and progression of macroscopic lesions in Orbicella annularis and O. faveolata on shallow fringing reefs of St. Kitts.,Diseases of aquatic organisms,10.3354/dao03492,Q3_mesh_anthozoa
32374734,Ware,2020,Survivorship and growth in staghorn coral (Acropora cervicornis) outplanting projects in the Florida Keys National Marine Sanctuary.,PloS one,10.1371/journal.pone.0231817,Q2_abbreviated
32337099,Calle-Triviño,2020,Assessing and genotyping threatened staghorn coral Acropora cervicornis nurseries during restoration in southeast Dominican Republic.,PeerJ,10.7717/peerj.8863,Q1_genus_caribbean; Q5_restoration
31824686,Estrada-Saldívar,2019,Functional consequences of the long-term decline of reef-building corals in the Caribbean: evidence of across-reef functional convergence.,Royal Society open science,10.1098/rsos.190298,Q1_genus_caribbean
31715909,DE Rezende,2019,"A taxonomic review of the brachiopod genus Australocoelia (Boucot amp; Gill, 1956) in the Devonian of Brazil.",Zootaxa,10.11646/zootaxa.4683.4.3,Q2_abbreviated
31566878,de Bakker,2019,Extreme spatial heterogeneity in carbonate accretion potential on a Caribbean fringing reef linked to local human disturbance gradients.,Global change biology,10.1111/gcb.14800,Q1_genus_caribbean
31456305,Baumann,2019,Nearshore coral growth declining on the Mesoamerican Barrier Reef System.,Global change biology,10.1111/gcb.14784,Q3_mesh_anthozoa
31332879,Baums,2019,Considerations for maximizing the adaptive potential of restored coral populations in the western Atlantic.,Ecological applications : a publication of the Ecological Society of America,10.1002/eap.1978,Q3_mesh_anthozoa; Q5_restoration
31238849,Dimos,2019,Uncovering a mitochondrial unfolded protein response in corals and its role in adapting to a changing world.,Proceedings. Biological sciences,10.1098/rspb.2019.0470,Q3_mesh_anthozoa
31238847,Martinez,2019,Species-specific calcification response of Caribbean corals after 2-year transplantation to a low aragonite saturation submarine spring.,Proceedings. Biological sciences,10.1098/rspb.2019.0572,Q3_mesh_anthozoa
31236558,Dimos,2019,Responding to Threats Both Foreign and Domestic: NOD-Like Receptors in Corals.,Integrative and comparative biology,10.1093/icb/icz111,Q1_genus_caribbean
31043671,Dunphy,2019,Structure and stability of the coral microbiome in space and time.,Scientific reports,10.1038/s41598-019-43268-6,Q1_genus_caribbean
31031924,Drury,2019,"Clonal diversity impacts coral cover in Acropora cervicornisthickets: Potential relationships between density, growth, and polymorphisms.",Ecology and evolution,10.1002/ece3.5035,Q1_genus_caribbean; Q4_esa_threatened
30988456,Lohr,2019,Metabolomic profiles differ among unique genotypes of a threatened Caribbean coral.,Scientific reports,10.1038/s41598-019-42434-0,Q1_genus_caribbean; Q3_mesh_anthozoa; Q4_esa_threatened
30809440,Fukami,2019,Maternal inheritance of F1 hybrid morphology and colony shape in the coral genus Acropora.,PeerJ,10.7717/peerj.6429,Q1_genus_caribbean
30737954,Edmunds,2019,Three decades of degradation lead to diminished impacts of severe hurricanes on Caribbean reefs.,Ecology,10.1002/ecy.2587,Q3_mesh_anthozoa
30506836,Hartmann,2019,Acquisition of obligate mutualist symbionts during the larval stage is not beneficial for a coral host.,Molecular ecology,10.1111/mec.14967,Q3_mesh_anthozoa
30281867,Lewis,2018,New Species of Closely Related Endosymbiotic Dinoflagellates in the Greater Caribbean have Niches Corresponding to Host Coral Phylogeny.,The Journal of eukaryotic microbiology,10.1111/jeu.12692,Q4_esa_threatened
30128199,Ribeiro,2018,"Long-term effects of competition and environmental drivers on the growth of the endangered coral Mussismilia braziliensis (Verril, 1867).",PeerJ,10.7717/peerj.5419,Q4_esa_threatened
29915342,Shaver,2018,Local management actions can increase coral resilience to thermally-induced bleaching.,Nature ecology & evolution,10.1038/s41559-018-0589-0,Q3_mesh_anthozoa
29682405,Merselis,2018,Symbiotic immuno-suppression: is disease susceptibility the price of bleaching resistance?,PeerJ,10.7717/peerj.4494,Q1_genus_caribbean
29507829,Goergen,2018,"Outplanting technique, host genotype, and site affect the initial success of outplanted Acropora cervicornis.",PeerJ,10.7717/peerj.4433,Q1_genus_caribbean
29290384,Laverick,2017,Experimental evidence for reduced mortality of Agaricia lamarcki on a mesophotic reef.,Marine environmental research,10.1016/j.marenvres.2017.12.013,Q3_mesh_anthozoa
29124861,Certner,2017,Inhibiting bacterial quorum sensing arrests coral disease development and disease-associated microbes.,Environmental microbiology,10.1111/1462-2920.13991,Q1_genus_caribbean
29098358,Baumann,2017,Coral Symbiodinium Community Composition Across the Belize Mesoamerican Barrier Reef System is Influenced by Host Species and Thermal Variability.,Microbial ecology,10.1007/s00248-017-1096-6,Q3_mesh_anthozoa
29076634,Chaves-Fonnegra,2017,Bleaching events regulate shifts from corals to excavating sponges in algae-dominated reefs.,Global change biology,10.1111/gcb.13962,Q3_mesh_anthozoa
29016624,Edmunds,2017,"Unusually high coral recruitment during the 2016 El Niño in Mo'orea, French Polynesia.",PloS one,10.1371/journal.pone.0185167,Q3_mesh_anthozoa
28875073,Godoy-Vitorino,2017,The microbial biosphere of the coral Acropora cervicornis in Northeastern Puerto Rico.,PeerJ,10.7717/peerj.3717,Q1_genus_caribbean
28861224,Drury,2017,Genomic patterns in Acropora cervicornis show extensive population structure and variable genetic diversity.,Ecology and evolution,10.1002/ece3.3184,Q1_genus_caribbean; Q4_esa_threatened
28839161,Cai,2017,Metagenomic analysis reveals a green sulfur bacterium as a potential coral symbiont.,Scientific reports,10.1038/s41598-017-09032-4,Q3_mesh_anthozoa
28472031,Welle,2017,Estimating the effect of multiple environmental stressors on coral bleaching and mortality.,PloS one,10.1371/journal.pone.0175018,Q3_mesh_anthozoa
