year,median,mean,ci_lower,ci_upper,pi_lower,pi_upper,scenario,return_interval,label,sim_type,pct_initial_median,pct_initial_mean
40,0.6252703155646906,3.0789918849069413,0.0029027569995872153,27.963883896330756,0.03828323654574419,3.2416745238387383,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,0.2977477693165193,1.4661866118604483
41,0.5982825677946719,3.224770971713897,0.0024283863609218066,29.423834189961653,0.03416022729233066,3.232037021141957,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,0.2848964608546057,1.535605224625665
42,0.572459669908106,3.3844983339874046,0.0020315377550034672,30.960006818687223,0.030481256668116134,3.22242854642508,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,0.27259984281338384,1.6116658733273355
43,0.5477513402302792,3.559254845390003,0.001699542450394957,32.57638107631629,0.02719850246253148,3.212848989693981,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,0.2608339715382281,1.6948832597095251
44,0.5241094690494441,3.7502201215651794,0.0014218020610036967,34.27714405668433,0.024269292939480727,3.2032982486490913,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,0.24957593764259245,1.7858191055072283
45,0.5014880242520924,3.9586807757776015,0.0011894502032310742,36.0667014886282,0.021655552087856397,3.1937762262108857,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,0.23880382107242495,1.8850860837036199
46,0.4798429612539794,4.186039436096326,9.950694478161862e-4,37.949689140768996,0.019323304639696635,3.1842828288691445,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,0.22849664821618068,1.993352112426822
47,0.4591321369613055,4.433824588877092,8.324545289861533e-4,39.93098482462904,0.017242234410110812,3.1748179655817066,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,0.218634350933955,2.111345042322425
48,0.43931522753677493,4.703701319452311,6.96414250901938e-4,42.01572102646035,0.015385290210948099,3.1653815470397038,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,0.20919772739846423,2.2398577711677676
49,0.4203536497734489,4.9974830275884425,5.826057671197756e-4,44.20929820000261,0.013728334211406654,3.1559734851772654,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,0.20016840465402327,2.379753822661163
50,0.4022104858996417,5.317144202476487,4.873959424569784e-4,46.517398754250145,0.012249828172224024,3.1465936928442404,severe_bleaching,20,severe_bleaching_every_20yr,monte_carlo,0.1915288028093532,2.531973429750708
0,210,210,210,210,210,210,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,100,100
1,154.26448557784983,153.36750103635958,136.38176210383614,171.30264372911623,143.38203416828648,162.21827836294756,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,73.45927884659515,73.03214335064742
2,120.12263796861407,119.12319419621558,93.8874462482872,148.12251270042745,103.77253484480266,132.8288815671589,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,57.20125617553051,56.725330569626465
3,98.07029338274171,97.30585349890659,67.76640462446701,134.28632006329568,78.74515115492476,114.03520331922911,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,46.700139706067475,46.33612071376504
4,83.22299627031859,82.85553103193759,50.841295015698634,126.54229991643456,62.10956337000956,101.76035556612135,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,39.62999822396123,39.455014777113135
5,72.84608591566209,72.97116900496562,39.343930769022705,122.99760769927451,50.53009704677009,93.6645564844984,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,34.68861234079147,34.748175716650294
6,65.31790346767397,66.00774558409958,31.189184071742858,122.46746699913122,42.11190900985577,88.31512269372519,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,31.103763556035226,31.432259801952185
7,59.64074500104267,60.960253342125135,25.177758933936254,124.17369480176833,35.73917593411488,84.796840363592,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,28.40035476240127,29.028692067678634
8,55.18655458817115,57.19835723880655,20.597357636793877,127.5903589778078,30.73714582678258,82.50944225580307,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,26.27931170865293,27.237312970860263
9,51.554315589279234,54.31959201032331,17.01176816832514,132.35721719533086,26.68849377963995,81.05300966959334,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,24.54967409013297,25.866472385868246
10,48.48562595217636,52.06367129228068,14.145086952979664,138.2272351345893,23.329252679647,80.1587370504003,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,23.088393310560175,24.79222442489556
11,45.81287180952267,50.260566472341566,11.816539207879199,145.03276706803678,20.48821479986587,79.64510786618263,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,21.815653242629843,23.93360308206741
12,43.426678147523916,48.798249499588906,9.903108717772255,152.66279776912384,18.051030236182893,79.38928975458562,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,20.67937054643996,23.237261666470907
13,41.255187945957076,47.60232033723222,8.317784119759263,161.04719213808255,15.93869408750695,79.30810715511971,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,19.645327593312892,22.6677715891582
14,39.250771763230716,46.623001160031855,6.996702325957176,170.145613466062,14.094547814244827,79.34524635669672,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,18.690843696776533,22.201429123824692
15,37.38147055666282,45.8267735007418,5.891415950992478,179.93966067673665,12.476366113681237,79.46260202129659,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,17.80070026507753,21.822273095591335
16,35.625476860242415,45.190973644977625,4.964140703165202,190.42727328298426,11.051499182778626,79.63440932502192,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,16.964512790591627,21.519511259513155
17,33.96757376756236,44.70028659725423,4.184754654033702,201.6187540222357,9.793858343482546,79.84326180721807,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,16.175035127410645,21.28585076059725
18,32.39683734419973,44.344464839145964,3.52884149804754,213.53395333700703,8.68201811278238,80.07740947363526,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,15.427065401999872,21.116411828164743
19,30.905154535761366,44.11684049337413,2.9763671611997164,226.20029124115362,7.697997624763723,80.32892686564006,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,14.71674025512446,21.00801928255911
20,29.48626720047597,44.01335344923821,2.5107496746257953,239.65138385108463,6.82645813151807,80.59247215289355,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,14.04107961927427,20.958739737732483
21,28.135155314924802,44.03191645992836,2.1181804459150255,253.92610714017582,6.0541577368165065,80.86444741972133,severe_bleaching,50,severe_bleaching_every_50yr,monte_carlo,13.397693007107048,20.96757926663255
