title,authors,year,journal,doi,wos_id
"Conservation actions and ecological context: optimizing coral reef local management in the Dominican Republic","Cortés-Useche, C; Hernández-Delgado, EA; Arias-González, JE","2021","PEERJ","","WOS:000626721800007"
"High tolerance to temperature and salinity change should enable scleractinian coral Platygyra acuta from marginal environments to persist under future climate change","Chui, APY; Ang, P","2017","PLOS ONE","","WOS:000403506300031"
"Do reef corals age?","Bythell, JC; Brown, BE; Kirkwood, TBL","2018","BIOLOGICAL REVIEWS","","WOS:000429699100024"
"Diseases and partial mortality in Montastraea annularis species complex in reefs with differing environmental conditions (NW Caribbean and Gulf of Mexico)","Jordán-Dahlgren, E; Maldonado, MA; Rodríguez-Martínez, RE","2005","DISEASES OF AQUATIC ORGANISMS","","WOS:000227981200001"
"Examination of species boundaries in the Acropora cervicornis group (Scleractinia, Cnidaria) using nuclear DNA sequence analyses","Van Oppen, MJH; Willis, BL; Miller, DJ","2000","MOLECULAR ECOLOGY","","WOS:000089424200017"
"Herbivory facilitates growth of a key reef-building Caribbean coral","Suchley, A; Alvarez-Filip, L","2017","ECOLOGY AND EVOLUTION","","WOS:000418824800067"
"Depth-related and species-related patterns of Holocene reef accretion in the Caribbean and western Atlantic: a critical assessment of existing models","Hubbard, DK","2009","","","WOS:000290183800001"
"Stasis, biological disturbance, and community structure of a Holocene coral reef","Aronson, RB; Precht, WF","1997","PALEOBIOLOGY","","WOS:A1997XY77400004"
"Changes in Caribbean coral disease prevalence after the 2005 bleaching event","Cróquer, A; Weil, E","2009","DISEASES OF AQUATIC ORGANISMS","","WOS:000272675600004"
"How vulnerable is Acropora cervicornis to environmental change? Lessons from the early to middle Holocene","Greer, L; Jackson, JE; Teneva, L","2009","GEOLOGY","","WOS:000263842200018"
"An ecological shift in a remote coral atoll of Belize over 25 years","McClanahan, TR; Muthiga, NA","1998","ENVIRONMENTAL CONSERVATION","","WOS:000074621100005"
"Massive hard coral loss after a severe bleaching event in 2010 at Los Rogues, Venezuela","Bastidas, C; Bone, D; Rodríguez, S","2012","REVISTA DE BIOLOGIA TROPICAL","","WOS:000322431600004"
"Coral disease hotspots in the Caribbean","van Woesik, R; Randall, CJ","2017","ECOSPHERE","","WOS:000402472300016"
"Settlement yields in large-scale in situ culture of Caribbean coral larvae for restoration","Miller, MW; Latijnhouwers, KRW; Banaszak, AT","2022","RESTORATION ECOLOGY","","WOS:000694040000001"
"Evidence for Autoinduction and Quorum Sensing in White Band Disease-Causing Microbes on Acropora cervicornis","Certner, RH; Vollmer, SV","2015","SCIENTIFIC REPORTS","","WOS:000355880100001"
"Onset of zooplanktivory and optimal water flow rates for prey capture in newly settled polyps of ten Caribbean coral species","Geertsma, RC; Wijgerde, T; Chamberland, VF","2022","CORAL REEFS","","WOS:000869228400001"
"Effects of UV radiation on the growth, photosynthetic and photoprotective components, and reproduction of the Caribbean shallow-water coral Porites furcata","Torres-Pérez, JL; Armstrong, RA","2012","CORAL REEFS","","WOS:000310999300018"
"Concordance of microbial and visual health indicators of white-band disease in nursery reared Caribbean coral Acropora cervicornis","Schul, MD; Anastasious, DE; Brown, AL","2023","PEERJ","","WOS:001022672500006"
"Sublethal changes to coral metabolism in response to deoxygenation","Mallon, JE; Altieri, AH; Johnson, MD","2025","JOURNAL OF EXPERIMENTAL BIOLOGY","","WOS:001437938500020"
"Antibiotic type and dose variably affect microbiomes of a disease-resistant Acropora cervicornis genotype","Patton, S; Silva, DP; Thurber, RLV","2025","ENVIRONMENTAL MICROBIOME","","WOS:001480407900001"
"Percent recent mortality (PRM) of stony corals as an ecological indicator of coral reef condition","Lirman, D; Formel, N; Riegl, B","2014","ECOLOGICAL INDICATORS","","WOS:000338608300013"
"Population dynamics of diseased corals: Effects of a Shut Down Reaction outbreak in Puerto Rican Acropora cervicornis","Mercado-Molina, AE; Sabat, AM; Hernández-Delgado, EA","2020","POPULATION DYNAMICS OF THE REEF CRISIS","","WOS:000610787200004"
"New records of macroalgae for the Mexican Atlantic and floristic richness of the Mexican Caribbean","Cetz-Navarro, NP; Espinoza-Avalos, J; Guan-Young, LI","2008","HIDROBIOLOGICA","","WOS:000254944200002"
"Disease dynamics and potential mitigation among restored and wild staghorn coral, Acropora cervicornis","Miller, MW; Lohr, KE; Peters, EC","2014","PEERJ","","WOS:000347619100003"
"Investigating the spatial distribution and effects of nearshore topography on Acropora cervicornis abundance in Southeast Florida","D'Antonio, NL; Gilliam, DS; Walker, BK","2016","PEERJ","","WOS:000385570500004"
"SHORT-TERM ECOLOGICAL CONSEQUENCES OF A MAJOR OIL-SPILL ON PANAMANIAN SUBTIDAL REEF CORALS","GUZMAN, HM; JACKSON, JBC; WEIL, E","1991","CORAL REEFS","","WOS:A1991FZ19200001"
"Halobacteriovorax halts disease progression in endangered Caribbean corals","Speare, L; Manley, C; Thurber, RLV","2025","ISME JOURNAL","","WOS:001649991600001"
"A Comparison of Damselfish Densities on Live Staghorn Coral (Acropora cervicornis) and Coral Rubble in Dry Tortugas National Park","Wilkes, AA; Cook, MM; Bennett, WA","2008","SOUTHEASTERN NATURALIST","","WOS:000259879300008"
"Stony coral tissue loss disease intervention with amoxicillin leads to a reversal of disease-modulated gene expression pathways","Studivan, MS; Eckert, RJ; Voss, JD","2023","MOLECULAR ECOLOGY","","WOS:001064606600001"
"Bleaching causes loss of disease resistance within the threatened coral species Acropora cervicornis","Muller, EM; Bartels, E; Baums, IB","2018","ELIFE","","WOS:000444233200001"
"A 3000 year record of Caribbean reef urchin communities reveals causes and consequences of long-term decline in Diadema antillarum","Cramer, KL; O'Dea, A; Norris, RD","2018","ECOGRAPHY","","WOS:000419052200015"
"Regional spatio-temporal trends in Caribbean coral reef benthic communities","Schutte, VGW; Selig, ER; Bruno, JF","2010","MARINE ECOLOGY PROGRESS SERIES","","WOS:000276021700009"
"Microplastic exposure under future oceanic conditions further threatens an endangered coral, Acropora cervicornis","Sugierski, S; Campbell, C; Fogarty, ND","2025","FRONTIERS IN MARINE SCIENCE","","WOS:001585050600001"
"Assessment of Acropora palmata in the Mesoamerican Reef System","Rodríguez-Martínez, RE; Banaszak, AT; Alvarez-Filip, L","2014","PLOS ONE","","WOS:000335505000064"
"Phosphate enrichment induces increased dominance of the parasite Aquarickettsia in the coral Acropora cervicornis","Klinges, JG; Patel, SH; Thurber, RLV","2022","FEMS MICROBIOLOGY ECOLOGY","","WOS:000765909900003"
"The coral symbiont Candidatus Aquarickettsia is variably abundant in threatened Caribbean acroporids and transmitted horizontally","Baker, LJ; Reich, HG; Thurber, RV","2022","ISME JOURNAL","","WOS:000682506200001"
"Holocene reef building on eastern St. Croix, US Virgin Islands: Lang Bank revisited","Hubbard, DK; Gill, IP; Burke, RB","2013","CORAL REEFS","","WOS:000322874500006"
"Repeated ex situ Spawning in Two Highly Disease Susceptible Corals in the Family Meandrinidae","O'Neil, KL; Serafin, RM; Craggs, JRK","2021","FRONTIERS IN MARINE SCIENCE","","WOS:000651362100003"
"Hurricanes and Caribbean coral reefs: Impacts, recovery patterns, and role in long-term decline","Gardner, TA; Côté, IM; Watkinson, AR","2005","ECOLOGY","","WOS:000226791700018"
"Distribution and structure of the southernmost Caribbean coral reefs:: Golfo de Uraba, Colombia","Díaz, JM; Díaz-Pulido, G; Sánchez, JA","2000","SCIENTIA MARINA","","WOS:000089282700009"
"Inhibition of reef framework by frequent disturbance: examples from the Arabian Gulf, South Africa, and the Cayman Islands","Riegl, B","2001","PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY","","WOS:000173067900006"
"NEOPLASIA, REGENERATION AND GROWTH IN THE REEF-BUILDING CORAL ACROPORA-PALMATA","BAK, RPM","1983","MARINE BIOLOGY","","WOS:A1983RW17100004"
"A review of ecological risks of coral reef interventions","","2026","RESTORATION ECOLOGY","","WOS:001721932900001"
"Seventeen-year study reveals fluctuations in key ecological indicators on two reef crests in Cuba","Ramos, A; González-Díaz, P; Duran, A","2024","PEERJ","","WOS:001155298100001"
"Testing methods to mitigate Caribbean yellow-band disease on Orbicella faveolata","Randall, CJ; Whitcher, EM; Muller, EM","2018","PEERJ","","WOS:000432018300011"
"DISTRIBUTION, MOVEMENT AND IMPACT OF THE CORALLIVOROUS GASTROPOD CORALLIOPHILA-ABBREVIATA (LAMARCK) ON A PANAMANIAN PATCH REEF","HAYES, JA","1990","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","WOS:A1990EE60600003"
"Human Pathogen Shown to Cause Disease in the Threatened Eklhorn Coral Acropora palmata","Sutherland, KP; Shaban, S; Lipp, EK","2011","PLOS ONE","","WOS:000294121300049"
"Physiological responses of Acropora cervicornis to increased solar irradiance","Torres, JL; Armstrong, RA; Gillbes, F","2007","PHOTOCHEMISTRY AND PHOTOBIOLOGY","","WOS:000248537200010"
"Influence of UV radiation on the survival of larvae from broadcast-spawning reef corals","Wellington, GM; Fitt, WK","2003","MARINE BIOLOGY","","WOS:000186954400015"
"Structure and stability of the coral microbiome in space and time","Dunphy, CM; Gouhier, TC; Vollmer, SV","2019","SCIENTIFIC REPORTS","","WOS:000466358700054"
"Trait networks reveal turnover in Caribbean corals and changes in community resilience through the Cenozoic","Clay, CG; Dunhill, A; Beger, M","2025","PALEOBIOLOGY","","WOS:001564080600001"
"Assessing the long-term effects of a catastrophic oil spill on subtidal coral reef communities off the Caribbean coast of Panama (1985-2017)","Guzman, HM; Kaiser, S; Weil, E","2020","MARINE BIODIVERSITY","","WOS:000525261100001"
